,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,331,5,1557940645510000000,1557940645512000000,1557940645510000000,1557940645512000000,1557940645510000000,1557940645512000000,4,0,1460,2
1,331,4,1557940657933000000,1557940657933000000,1557940657933000000,1557940657933000000,1557940657933000000,1557940657933000000,4,0,792,2
2,331,3,1557940647521000000,1557940647521000000,1557940647521000000,1557940647521000000,1557940647521000000,1557940647521000000,4,0,332,2
3,331,2,1557940643504000000,1557940643504000000,1557940643504000000,1557940643504000000,1557940643504000000,1557940643504000000,4,0,4048,2
4,331,7,1557940650340000000,1557940650340000000,1557940650340000000,1557940650340000000,1557940650340000000,1557940650340000000,4,0,981,2
5,331,6,1557940637738000000,1557940637738000000,1557940637738000000,1557940637738000000,1557940637738000000,1557940637738000000,4,0,1405,2
6,331,10,1557940657504000000,1557940657508000000,1557940657504000000,1557940657508000000,1557940657504000000,1557940657508000000,4,0,4048,2
7,331,9,1557940637680000000,1557940637680000000,1557940637680000000,1557940637680000000,1557940637680000000,1557940637680000000,4,0,238,2
8,331,8,1557940648527000000,1557940648529000000,1557940648527000000,1557940648529000000,1557940648527000000,1557940648529000000,4,0,1460,2
9,331,1,1557940640465000000,1557940640465000000,1557940640465000000,1557940640465000000,1557940640465000000,1557940640465000000,4,0,549,2
10,331,0,1557940656503000000,1557940656507000000,1557940656503000000,1557940656507000000,1557940656503000000,1557940656507000000,4,0,1460,2
11,0,11,1557940658519000000,1557941688166000000,1557940658519000000,1557941688166000000,1557940658519000000,1557941688166000000,4,0,8,2
